Gene Name	 Locus Tag (prokka_output)	Locus Tag (K12 reference)	Start of Gene	End of Gene	Strand	UniProt ID	Protein Product
gadW	FJKNNBLA_03452	b3515	3594109	3593381	-1	P63201	DNA-binding transcriptional dual regulator GadW
gadX	FJKNNBLA_03453	b3516	3595301	3594477	-1	P37639	DNA-binding transcriptional dual regulator GadX
gadA	FJKNNBLA_03454	b3517	3597071	3595671	-1	P69908	glutamate decarboxylase A
yhjA	FJKNNBLA_03455	b3518	3598679	3597282	-1	P37197	cytochrome c peroxidase
treF	FJKNNBLA_03456	b3519	3599084	3600733	1	P62601	cytoplasmic trehalase
yhjB	FJKNNBLA_03457	b3520	3601386	3600784	-1	P37640	putative DNA-binding transcriptional regulator YhjB
yhjC	FJKNNBLA_03458	b3521	3601834	3602805	1	P37641	putative DNA-binding transcriptional regulator YhjC
yhjD	FJKNNBLA_03459	b3522	3602854	3603867	1	P37642	putative transporter YhjD
yhjE	FJKNNBLA_03460	b3523	3604278	3605600	1	P37643	putative transporter YhjE
yhjG	FJKNNBLA_03461	b3524	3607842	3605782	-1	P37645	AsmA family protein YhjG
pdeH	FJKNNBLA_03462	b3525	3608679	3607912	-1	P37646	c-di-GMP phosphodiesterase PdeH
kdgK	FJKNNBLA_03463	b3526	3608911	3609840	1	P37647	2-dehydro-3- deoxygluconokinase
yhjJ	FJKNNBLA_03464	b3527	3611432	3609936	-1	P37648	peptidase M16 family protein YhjJ
dctA	FJKNNBLA_03465	b3528	3612939	3611653	-1	P0A830	C4 dicarboxylate/orotate:H(+)symporter
pdeK	FJKNNBLA_03466	b3529	3615071	3613122	-1	P37649	c-di-GMP phosphodiesterase PdeK
bcsC	FJKNNBLA_03467	b3530	3618665	3615192	-1	P37650	cellulose synthase outer membrane channel
bcsZ	FJKNNBLA_03468	b3531	3619753	3618647	-1	P37651	endo-1,4-D-glucanase
bcsB	FJKNNBLA_03469	b3532	3622063	3619760	-1	P37652	cellulose synthase periplasmic subunit
bcsA	FJKNNBLA_03470	b3533	3624728	3622110	-1	P37653	cellulose synthase catalytic subunit
bcsQ	FJKNNBLA_03471	N/A	3625477	3624725	-1	P37655	['Cellulose biosynthesis protein BcsQ']
yhjR	FJKNNBLA_03472	b3535	3625677	3625489	-1	P0ADJ3	PF10945 family protein YhjR
bcsE	FJKNNBLA_03473	b3536	3625962	3627521	1	P37657	c-di-GMP-binding protein BcsE
bcsF	FJKNNBLA_03474	b3537	3627518	3627709	1	P0ADJ5	putative cellulose biosynthesis protein BcsF
bcsG	FJKNNBLA_03475	b3538	3627706	3629385	1	P37659	cellulose phosphoethanolamine transferase
ldrD	FJKNNBLA_03476	b4453	3629579	3629472	-1	Q6BF25	small toxic polypeptide LdrD
ldrD	FJKNNBLA_03477	b4453	3630062	3629955	-1	Q6BF25	small toxic polypeptide LdrD
ldrD	FJKNNBLA_03479	b4453	3630545	3630438	-1	Q6BF25	small toxic polypeptide LdrD
yhjV	FJKNNBLA_03480	b3539	3631021	3632292	1	P37660	putative transporter YhjV
dppF	FJKNNBLA_03481	b3540	3633326	3632322	-1	P37313	dipeptide ABC transporter ATP binding subunit DppF
dppD	FJKNNBLA_03482	b3541	3634306	3633323	-1	P0AAG0	dipeptide ABC transporter ATP binding subunit DppD
dppC	FJKNNBLA_03483	b3542	3635219	3634317	-1	P0AEG1	dipeptide ABC transporter membrane subunit DppC
dppB	FJKNNBLA_03484	b3543	3636248	3635229	-1	P0AEF8	dipeptide ABC transporter membrane subunit DppB
dppA	FJKNNBLA_03485	b3544	3638163	3636556	-1	P23847	dipeptide ABC transporter periplasmic binding protein
eptB	FJKNNBLA_03487	b3546	3640933	3639242	-1	P37661	Kdo2-lipid A phosphoethanolamine 7''-transferase
yhjX	FJKNNBLA_03488	b3547	3642465	3641257	-1	P37662	putative transporter YhjX
yhjY	FJKNNBLA_03489	b3548	3643392	3642694	-1	P37663	putative outer membrane protein YhjY
tag	FJKNNBLA_03490	b3549	3643550	3644113	1	P05100	3-methyl-adenine DNA glycosylase I, constitutive
yiaC	FJKNNBLA_03491	b3550	3644110	3644550	1	P37664	peptidyl-lysine N-acetyltransferase YiaC
bisC	FJKNNBLA_03492	b3551	3646852	3644519	-1	P20099	biotin sulfoxide reductase
yiaD	FJKNNBLA_03493	b3552	3647005	3647664	1	P37665	PF13488 family lipoprotein YiaD
ghrB	FJKNNBLA_03494	b3553	3647768	3648742	1	P37666	glyoxylate reductase
yiaF	FJKNNBLA_03495	b3554	3649502	3648792	-1	P0ADK0	DUF3053 domain-containing protein YiaF
yiaG	FJKNNBLA_03496	b3555	3649936	3650226	1	P0A9V5	putative DNA-binding transcriptional regulator YiaG
cspA	FJKNNBLA_03497	b3556	3650507	3650719	1	P0A9X9	cold shock protein CspA
hokA	FJKNNBLA_03498	b4455	3651058	3650906	-1	P37305	small toxic polypeptide
glyS	FJKNNBLA_03501	b3559	3654855	3652786	-1	P00961	glycine--tRNA ligase subunit beta
glyQ	FJKNNBLA_03502	b3560	3655776	3654865	-1	P00960	glycine--tRNA ligase subunit alpha
ysaB	FJKNNBLA_03503	b4553	3656170	3655871	-1	Q2M7M3	putative lipoprotein YsaB
wecH	FJKNNBLA_03504	b3561	3656345	3657340	1	P37669	O-acetyltransferase WecH
yiaA	FJKNNBLA_03505	b3562	3657819	3657382	-1	P0ADJ8	PF05360 family inner membrane protein YiaA
yiaB	FJKNNBLA_03506	b3563	3658206	3657865	-1	P11286	PF05360 family inner membrane protein YiaB
xylB	FJKNNBLA_03507	b3564	3659829	3658375	-1	P09099	xylulokinase
xylA	FJKNNBLA_03508	b3565	3661223	3659901	-1	P00944	xylose isomerase
xylF	FJKNNBLA_03509	b3566	3661589	3662581	1	P37387	xylose ABC transporter periplasmic binding protein
xylH	FJKNNBLA_03512	b3568	3664176	3665357	1	P0AGI4	xylose ABC transporter membrane subunit
xylR	FJKNNBLA_03513	b3569	3665435	3666613	1	P0ACI3	DNA-binding transcriptional dual regulator XylR
bax	FJKNNBLA_03514	b3570	3667633	3666809	-1	P27297	putative glycoside hydrolase Bax
malS	FJKNNBLA_03515	b3571	3667953	3669983	1	P25718	alpha-amylase
avtA	FJKNNBLA_03516	b3572	3670161	3671414	1	P09053	valine--pyruvate aminotransferase
ysaA	FJKNNBLA_03517	b3573	3672038	3671565	-1	P56256	putative electron transport protein YsaA
yiaJ	FJKNNBLA_03518	b3574	3672988	3672140	-1	P37671	DNA-binding transcriptional repressor PlaR
dlgD	FJKNNBLA_03519	b3575	3673189	3674187	1	P37672	2,3-diketo-L-gulonate reductase
yiaL	FJKNNBLA_03520	b3576	3674199	3674666	1	P37673	DUF386 domain-containing protein YiaL
yiaM	FJKNNBLA_03521	b3577	3674784	3675257	1	P37674	2,3-diketo-L-gulonate:Na(+)symporter - membrane subunit
yiaN	FJKNNBLA_03522	b3578	3675260	3676537	1	P37675	2,3-diketo-L-gulonate:Na(+)symporter - membrane subunit
yiaO	FJKNNBLA_03523	b3579	3676550	3677536	1	P37676	2,3-diketo-L-gulonate:Na(+)symporter - periplasmic binding protein
lyx	FJKNNBLA_03524	b3580	3677540	3679036	1	P37677	L-xylulose kinase
sgbH	FJKNNBLA_03525	b3581	3679033	3679695	1	P37678	3-keto-L-gulonate-6-phosphate decarboxylase SgbH
sgbU	FJKNNBLA_03526	b3582	3679688	3680548	1	P37679	putative L-xylulose 5-phosphate 3-epimerase
sgbE	FJKNNBLA_03527	b3583	3680542	3681237	1	P37680	L-ribulose-5-phosphate 4-epimerase SgbE
rhaR_1	FJKNNBLA_03528	N/A	3682084	3681269	-1	N/A	['HTH-type transcriptional activator RhaR']
yicJ	FJKNNBLA_03529	b3657	3682310	3683710	1	P31435	putative xyloside transporter YicJ
hypBA1	FJKNNBLA_03530	N/A	3683721	3685700	1	E8MGH8	['Non-reducing end beta-L-arabinofuranosidase']
yiaT	FJKNNBLA_03531	b3584	3686561	3685821	-1	P37681	outer membrane protein YiaT
yiaU	FJKNNBLA_03532	b3585	3686685	3687659	1	P37682	putative LysR-type DNA-binding transcriptional regulator YiaU
yiaV	FJKNNBLA_03533	b3586	3688792	3687656	-1	P37683	putative membrane fusion protein YiaV
yiaW	FJKNNBLA_03534	b3587	3689121	3688798	-1	P0ADK4	DUF3302 domain-containing protein YiaW
FJKNNBLA_03535	FJKNNBLA_03535	N/A	3689235	3689447	1	N/A	['hypothetical protein']
aldB	FJKNNBLA_03536	b3588	3691204	3689666	-1	P37685	aldehyde dehydrogenase B
yiaY	FJKNNBLA_03537	b3589	3692520	3691369	-1	P37686	L-threonine dehydrogenase
selB	FJKNNBLA_03538	b3590	3694554	3692710	-1	P14081	selenocysteyl-tRNA-specific translation elongation factor
selA	FJKNNBLA_03539	b3591	3695942	3694551	-1	P0A821	selenocysteine synthase
yibF	FJKNNBLA_03540	b3592	3696648	3696040	-1	P0ACA1	glutathione transferase-like protein YibF
rhsA	FJKNNBLA_03541	b3593	3696877	3701010	1	P16916	rhs element protein RhsA
yibA	FJKNNBLA_03542	b3594	3701031	3701873	1	P0ADK6	putative lyase containing HEAT-repeat
yibG	FJKNNBLA_03544	b3596	3702871	3703332	1	P32106	tetratricopeptide-like domain-containing protein YibG
yibH	FJKNNBLA_03545	b3597	3706072	3704936	-1	P0AFV0	inner membrane protein YibH
yibI	FJKNNBLA_03546	b3598	3706437	3706075	-1	P32108	DUF3302 domain-containing protein YibI
mtlA	FJKNNBLA_03547	b3599	3706974	3708887	1	P00550	mannitol-specific PTS enzyme IICBA component
mtlD	FJKNNBLA_03548	b3600	3709117	3710265	1	P09424	mannitol-1-phosphate 5-dehydrogenase
mtlR	FJKNNBLA_03549	b3601	3710265	3710852	1	P0AF10	transcriptional repressor MtlR
yibT	FJKNNBLA_03550	b4554	3711073	3710864	-1	Q2M7R5	protein YibT
yibL	FJKNNBLA_03551	b3602	3711358	3711720	1	P0ADK8	DUF2810 domain-containing protein YibL
sadB	FJKNNBLA_03552	N/A	3712264	3712947	1	Q8ZL65	['Inner membrane lipoprotein SadB']
ehaG	FJKNNBLA_03553	N/A	3712991	3717841	1	Q7DJ60	['Autotransporter adhesin EhaG']
lldP	FJKNNBLA_03554	b3603	3718209	3719864	1	P33231	lactate/glycolate:H(+)symporter LldP
lldR	FJKNNBLA_03555	b3604	3719864	3720640	1	P0ACL7	DNA-binding transcriptional dual regulator LldR
lldD	FJKNNBLA_03556	b3605	3720637	3721827	1	P33232	L-lactate dehydrogenase
trmL	FJKNNBLA_03557	b3606	3721981	3722454	1	P0AGJ7	tRNA (cytidine/uridine-2'-O)-ribose methyltransferase
cysE	FJKNNBLA_03558	b3607	3723328	3722507	-1	P0A9D4	serine acetyltransferase
gpsA	FJKNNBLA_03559	b3608	3724427	3723408	-1	P0A6S7	glycerol-3-phosphate dehydrogenase
secB	FJKNNBLA_03560	b3609	3724894	3724427	-1	P0AG86	protein export chaperone SecB
grxC	FJKNNBLA_03561	b3610	3725208	3724957	-1	P0AC62	glutaredoxin 3
yibN	FJKNNBLA_03562	b3611	3725781	3725350	-1	P0AG27	putative sulfurtransferase YibN
gpmI	FJKNNBLA_03563	b3612	3726026	3727570	1	P37689	2,3-bisphosphoglycerate-independent phosphoglycerate mutase
envC	FJKNNBLA_03564	b3613	3727604	3728863	1	P37690	murein hydrolase activator EnvC
yibQ	FJKNNBLA_03565	b3614	3728867	3729826	1	P37691	divergent polysaccharide deacetylase domain-containing protein YibQ
yibD	FJKNNBLA_03566	b3615	3730847	3729813	-1	P11290	UDP-glucuronate:LPS(HepIII)glycosyltransferase
tdh	FJKNNBLA_03567	b3616	3732111	3731086	-1	P07913	threonine dehydrogenase
kbl	FJKNNBLA_03568	b3617	3733317	3732121	-1	P0AB77	2-amino-3-ketobutyrate CoA ligase
hldD	FJKNNBLA_03569	b3619	3733531	3734463	1	P67910	ADP-L-glycero-D-mannoheptose 6-epimerase
rfaF	FJKNNBLA_03570	b3620	3734473	3735519	1	P37692	ADP-heptose--LPS heptosyltransferase 2
rfaC	FJKNNBLA_03571	b3621	3735523	3736503	1	P24173	ADP-heptose:LPS heptosyltransferase 1
rfaL	FJKNNBLA_03572	b3622	3737826	3736573	-1	P27243	O-antigen ligase
arnC	FJKNNBLA_03573	N/A	3738855	3737872	-1	P77757	['Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase']
rfaJ	FJKNNBLA_03574	b3626	3739965	3738940	-1	P27129	UDP-glucose:(glucosyl)LPS alpha-1,2-glucosyltransferase
rfaY	FJKNNBLA_03575	b3625	3740683	3739991	-1	P27240	lipopolysaccharide core heptose (II) kinase
rfaI	FJKNNBLA_03580	b3627	3743497	3742481	-1	P27128	UDP-D-glucose:(glucosyl)LPS alpha-1,3-glucosyltransferase
rfaP	FJKNNBLA_03581	b3630	3744310	3743513	-1	P25741	lipopolysaccharide core heptose (I) kinase
rfaG	FJKNNBLA_03582	b3631	3745427	3744303	-1	P25740	lipopolysaccharide glucosyltransferase I
rfaQ	FJKNNBLA_03583	b3632	3746482	3745424	-1	P25742	lipopolysaccharide core heptosyltransferase 3
waaA	FJKNNBLA_03584	b3633	3746895	3748172	1	P0AC75	KDO transferase
coaD	FJKNNBLA_03585	b3634	3748180	3748659	1	P0A6I6	pantetheine-phosphate adenylyltransferase
mutM	FJKNNBLA_03586	b3635	3749507	3748698	-1	P05523	DNA-formamidopyrimidine glycosylase
rpmG	FJKNNBLA_03587	b3636	3749772	3749605	-1	P0A7N9	50S ribosomal subunit protein L33
rpmB	FJKNNBLA_03588	b3637	3750029	3749793	-1	P0A7M2	50S ribosomal subunit protein L28
yicR	FJKNNBLA_03589	b3638	3750914	3750246	-1	P25531	RadC-like JAB domain-containing protein YicR
coaBC	FJKNNBLA_03590	b3639	3751086	3752306	1	P0ABQ0	fused 4'-phosphopantothenoylcysteine decarboxylase and phosphopantothenoylcysteine synthetase
dut	FJKNNBLA_03591	b3640	3752284	3752742	1	P06968	dUTP diphosphatase
slmA	FJKNNBLA_03592	b3641	3752849	3753445	1	P0C093	nucleoid occlusion factor SlmA
pyrE	FJKNNBLA_03593	b3642	3754123	3753482	-1	P0A7E3	orotate phosphoribosyltransferase
rph	FJKNNBLA_03594	b3643	3754905	3754189	-1	P0CG19	truncated RNase PH
yicC	FJKNNBLA_03595	b3644	3755032	3755895	1	P23839	UPF0701 family protein YicC
dinD	FJKNNBLA_03596	b3645	3756116	3756940	1	P23840	DNA damage-inducible protein D
yicG	FJKNNBLA_03597	b3646	3757231	3757848	1	P0AGM2	PF03458 family inner membrane protein YicG
ligB	FJKNNBLA_03598	b3647	3759527	3757845	-1	P25772	DNA ligase B
gmk	FJKNNBLA_03599	b3648	3759785	3760408	1	P60546	guanylate kinase
rpoZ	FJKNNBLA_03600	b3649	3760463	3760738	1	P0A800	RNA polymerase subunit omega
spoT	FJKNNBLA_03601	b3650	3760757	3762865	1	P0AG24	bifunctional(p)ppGpp synthase/hydrolase SpoT
trmH	FJKNNBLA_03602	b3651	3762872	3763561	1	P0AGJ2	tRNA (Gm18)2'-O-methyltransferase
recG	FJKNNBLA_03603	b3652	3763567	3765648	1	P24230	ATP-dependent DNA helicase RecG
FJKNNBLA_03604	FJKNNBLA_03604	N/A	3766499	3765633	-1	N/A	['hypothetical protein']
gltS	FJKNNBLA_03605	b3653	3767707	3766502	-1	P0AER8	glutamate:sodium symporter
xanP	FJKNNBLA_03606	b3654	3767987	3769378	1	P0AGM9	xanthine:H(+)symporter XanP
yicH	FJKNNBLA_03607	b3655	3769499	3771208	1	P31433	AsmA family protein YicH
yicI	FJKNNBLA_03608	b3656	3773579	3771261	-1	P31434	alpha-D-xyloside xylohydrolase
yicJ	FJKNNBLA_03609	b3657	3774971	3773589	-1	P31435	putative xyloside transporter YicJ
intS	FJKNNBLA_03611	b2349	3775658	3776842	1	P37326	CPS-53 (KpLE1)prophage; prophage CPS-53 integrase
FJKNNBLA_03612	FJKNNBLA_03612	N/A	3777253	3778296	1	N/A	['hypothetical protein']
cytR	FJKNNBLA_03613	b3934	3779764	3778694	-1	P0ACN7	DNA-binding transcriptional repressor CytR
exuT	FJKNNBLA_03614	b3093	3780026	3781327	1	P0AA78	hexuronate transporter
FJKNNBLA_03615	FJKNNBLA_03615	N/A	3781342	3783723	1	N/A	['hypothetical protein']
FJKNNBLA_03616	FJKNNBLA_03616	N/A	3784371	3784856	1	N/A	['Single-stranded DNA-binding protein']
FJKNNBLA_03620	FJKNNBLA_03620	N/A	3786962	3786807	-1	N/A	['hypothetical protein']
FJKNNBLA_03622	FJKNNBLA_03622	N/A	3788241	3791738	1	N/A	['hypothetical protein']
FJKNNBLA_03625	FJKNNBLA_03625	N/A	3794468	3794956	1	N/A	['hypothetical protein']
FJKNNBLA_03626	FJKNNBLA_03626	N/A	3794968	3795165	1	N/A	['hypothetical protein']
FJKNNBLA_03627	FJKNNBLA_03627	N/A	3795250	3796095	1	N/A	['hypothetical protein']
setC	FJKNNBLA_03628	b3659	3796885	3798069	1	P31436	putative arabinose exporter
yicL	FJKNNBLA_03629	b3660	3798180	3799103	1	P31437	putative transporter YicL
nlpA	FJKNNBLA_03630	b3661	3799925	3799107	-1	P04846	lipoprotein-28
yicS	FJKNNBLA_03631	b4555	3800147	3800440	1	Q2M7X4	uncharacterized protein YicS
nepI	FJKNNBLA_03632	b3662	3801719	3800481	-1	P0ADL1	purine ribonucleoside exporter
yicN	FJKNNBLA_03633	b3663	3802334	3801882	-1	P0ADL3	DUF1198 domain-containing protein YicN
adeQ	FJKNNBLA_03634	b3664	3803721	3802387	-1	P31440	adenine transporter
ade	FJKNNBLA_03635	b3665	3803896	3805662	1	P31441	adenine deaminase
uhpT	FJKNNBLA_03636	b3666	3807099	3805708	-1	P0AGC0	hexose-6-phosphate:phosphate antiporter
uhpC	FJKNNBLA_03637	b3667	3808556	3807237	-1	P09836	inner membrane protein sensing glucose-6-phosphate
uhpB	FJKNNBLA_03638	b3668	3810068	3808566	-1	P09835	sensory histidine kinase UhpB
uhpA	FJKNNBLA_03639	b3669	3810658	3810068	-1	P0AGA6	DNA-binding transcriptional activator UhpA
ilvN	FJKNNBLA_03640	b3670	3811023	3810733	-1	P0ADF8	acetohydroxy acid synthase I subunit IlvN
ilvB	FJKNNBLA_03641	b3671	3812715	3811027	-1	P08142	acetohydroxy acid synthase I subunit IlvB
ivbL	FJKNNBLA_03642	b3672	3812919	3812821	-1	P03061	ilvBN operon leader peptide
tisB	FJKNNBLA_03643	b4618	3813484	3813573	1	A5A627	membrane-depolarizing toxin TisB
emrD	FJKNNBLA_03644	b3673	3813853	3815037	1	P31442	multidrug efflux pump EmrD
yidF	FJKNNBLA_03645	b3674	3815542	3815045	-1	P31443	uncharacterized protein YidF
yidG	FJKNNBLA_03646	b3675	3815901	3815539	-1	P0ADL6	inner membrane protein YidG
yidH	FJKNNBLA_03647	b3676	3816238	3815891	-1	P0ADM0	DUF202 domain-containing inner membrane protein YidH
yidI	FJKNNBLA_03648	b3677	3816347	3816796	1	P31446	putative inner membrane protein YidI
yidJ	FJKNNBLA_03649	b3678	3818336	3816843	-1	P31447	putative sulfatase/phosphatase YidJ
yidK	FJKNNBLA_03650	b3679	3820048	3818333	-1	P31448	putative transporter YidK
yidL	FJKNNBLA_03651	b3680	3820215	3821108	1	P31449	putative DNA-binding transcriptional regulator YidL
aglB	FJKNNBLA_03652	N/A	3822427	3821105	-1	Q9AGA6	['6-phospho-alpha-glucosidase']
FJKNNBLA_03653	FJKNNBLA_03653	N/A	3824043	3822427	-1	N/A	['hypothetical protein']
yidE	FJKNNBLA_03655	b3685	3826634	3824973	-1	P60872	putative transport protein YidE
ibpB	FJKNNBLA_03656	b3686	3827258	3826830	-1	P0C058	small heat shock protein IbpB
ibpA	FJKNNBLA_03657	b3687	3827783	3827370	-1	P0C054	small heat shock protein IbpA
yidQ	FJKNNBLA_03658	b3688	3828161	3828421	1	P0ADM4	DUF1375 domain-containing putative lipoprotein YidQ
yidR	FJKNNBLA_03659	b3689	3829637	3828423	-1	P31455	DUF3748 domain-containing galacturonate catabolism protein YidR
cbrA	FJKNNBLA_03660	b3690	3829738	3830802	1	P31456	colicin M resistance protein
dgoT	FJKNNBLA_03661	b3691	3832091	3830799	-1	P0AA76	D-galactonate:H(+)symporter
dgoD	FJKNNBLA_03662	b4478	3833359	3832211	-1	Q6BF17	D-galactonate dehydratase
dgoA	FJKNNBLA_03663	b4477	3833973	3833356	-1	Q6BF16	2-dehydro-3-deoxy-6-phosphogalactonate aldolase
dgoK	FJKNNBLA_03664	b3693	3834835	3833957	-1	P31459	2-dehydro-3- deoxygalactonokinase
dgoR	FJKNNBLA_03665	b4479	3835521	3834832	-1	P31460	DNA-binding transcriptional regulator DgoR
yidX	FJKNNBLA_03666	b3696	3835799	3836455	1	P0ADM6	putative lipoprotein YidX
yidA	FJKNNBLA_03667	b3697	3837313	3836501	-1	P0A8Y5	sugar phosphatase YidA
yidB	FJKNNBLA_03668	b3698	3837826	3837428	-1	P09996	DUF937 domain-containing protein YidB
gyrB	FJKNNBLA_03669	b3699	3840480	3838066	-1	P0AES6	DNA gyrase subunit B
recF	FJKNNBLA_03670	b3700	3841582	3840509	-1	P0A7H0	DNA repair protein RecF
dnaN	FJKNNBLA_03671	b3701	3842682	3841582	-1	P0A988	beta sliding clamp
dnaA	FJKNNBLA_03672	b3702	3844090	3842687	-1	P03004	chromosomal replication initiator protein DnaA
rpmH	FJKNNBLA_03673	b3703	3844697	3844837	1	P0A7P5	50S ribosomal subunit protein L34
rnpA	FJKNNBLA_03674	b3704	3844887	3845213	1	P0A7Y8	RNase P protein component
yidC	FJKNNBLA_03675	b3705	3845437	3847083	1	P25714	membrane protein insertase YidC
mnmE	FJKNNBLA_03676	b3706	3847189	3848553	1	P25522	5-carboxymethylaminomethyluridine-tRNA synthase GTPase subunit
tnaA	FJKNNBLA_03677	b3708	3849091	3850506	1	P0A853	tryptophanase
tnaB	FJKNNBLA_03678	b3709	3850597	3851844	1	P23173	tryptophan:H(+)symporter TnaB
mdtL	FJKNNBLA_03679	b3710	3851976	3853151	1	P31462	efflux pump MdtL
yidZ	FJKNNBLA_03680	b3711	3853126	3854085	1	P31463	putative LysR-type transcriptional regulator YidZ
yieE	FJKNNBLA_03681	b3712	3854242	3854991	1	P0ADM8	putative phosphopantetheinyl transferase
chrR	FJKNNBLA_03682	b3713	3855013	3855579	1	P0AGE6	chromate reductase
adeP	FJKNNBLA_03683	b3714	3856970	3855633	-1	P31466	adenine:H(+)symporter
yieH	FJKNNBLA_03684	b3715	3857137	3857802	1	P31467	6-phosphogluconate phosphatase
cbrB	FJKNNBLA_03685	b3716	3857869	3858342	1	P31468	putative inner membrane protein
cbrC	FJKNNBLA_03686	b3717	3858391	3858978	1	P31469	UPF0167 family colicin E2 tolerance protein CbrC
yieK	FJKNNBLA_03687	b3718	3859762	3859040	-1	P31470	putative glucosamine-6-phosphate deaminase YieK
yieL	FJKNNBLA_03688	b3719	3860946	3859777	-1	P31471	putative hydrolase YieL
bglH	FJKNNBLA_03689	b3720	3862589	3860973	-1	P26218	carbohydrate-specific outer membrane porin, cryptic
bglB	FJKNNBLA_03690	b3721	3864069	3862675	-1	P11988	6-phospho-beta-glucosidase B
bglF	FJKNNBLA_03691	b3722	3865965	3864088	-1	P08722	beta-glucoside specific PTS enzyme II/BglG kinase/BglG phosphatase
bglG	FJKNNBLA_03692	b3723	3866934	3866098	-1	P11989	transcriptional antiterminator BglG
phoU	FJKNNBLA_03693	b3724	3867945	3867220	-1	P0A9K7	negative regulator of the pho regulon
pstB	FJKNNBLA_03694	b3725	3868733	3867960	-1	P0AAH0	phosphate ABC transporter ATP binding subunit
pstA	FJKNNBLA_03695	b3726	3869806	3868916	-1	P07654	phosphate ABC transporter membrane subunit PstA
pstC	FJKNNBLA_03696	b3727	3870765	3869806	-1	P0AGH8	phosphate ABC transporter membrane subunit PstC
pstS	FJKNNBLA_03697	b3728	3871891	3870851	-1	P0AG82	phosphate ABC transporter periplasmic binding protein
glmS	FJKNNBLA_03698	b3729	3874034	3872205	-1	P17169	L-glutamine--D-fructose-6-phosphate aminotransferase
glmU	FJKNNBLA_03699	b3730	3875566	3874196	-1	P0ACC7	fused N-acetylglucosamine-1-phosphate uridyltransferase and glucosamine-1-phosphate acetyltransferase
atpC	FJKNNBLA_03700	b3731	3876338	3875919	-1	P0A6E6	ATP synthase F1 complex subunit epsilon
atpD	FJKNNBLA_03701	b3732	3877741	3876359	-1	P0ABB4	ATP synthase F1 complex subunit beta
atpG	FJKNNBLA_03702	b3733	3878631	3877768	-1	P0ABA6	ATP synthase F1 complex subunit gamma
atpA	FJKNNBLA_03703	b3734	3880223	3878682	-1	P0ABB0	ATP synthase F1 complex subunit alpha
atpH	FJKNNBLA_03704	b3735	3880769	3880236	-1	P0ABA4	ATP synthase F1 complex subunit delta
atpF	FJKNNBLA_03705	b3736	3881254	3880784	-1	P0ABA0	ATP synthase Fo complex subunit b
atpE	FJKNNBLA_03706	b3737	3881555	3881316	-1	P68699	ATP synthase Fo complex subunit c
atpB	FJKNNBLA_03707	b3738	3882417	3881602	-1	P0AB98	ATP synthase Fo complex subunit a
atpI	FJKNNBLA_03708	b3739	3882806	3882426	-1	P0ABC0	ATP synthase accessory factor AtpI
mnmG	FJKNNBLA_03711	b3741	3885994	3884105	-1	P0A6U3	5-carboxymethylaminomethyluridine-tRNA synthase subunit MnmG
mioC	FJKNNBLA_03712	b3742	3886816	3886373	-1	P03817	flavoprotein MioC
asnC	FJKNNBLA_03713	b3743	3887364	3886906	-1	P0ACI6	DNA-binding transcriptional dual regulator AsnC
asnA	FJKNNBLA_03714	b3744	3887516	3888508	1	P00963	asparagine synthetase A
viaA	FJKNNBLA_03715	b3745	3889964	3888513	-1	P0ADN0	protein ViaA
ravA	FJKNNBLA_03716	b3746	3891454	3889958	-1	P31473	regulatory ATPase RavA
kup	FJKNNBLA_03717	b3747	3891677	3893545	1	P63183	K(+):H(+) symporter Kup
rbsD	FJKNNBLA_03720	b3748	3895158	3895577	1	P04982	D-ribose pyranase
rbsA	FJKNNBLA_03721	b3749	3895585	3897090	1	P04983	ribose ABC transporter ATP binding subunit
rbsC	FJKNNBLA_03722	b3750	3897095	3898060	1	P0AGI1	ribose ABC transporter membrane subunit
rbsB	FJKNNBLA_03723	b3751	3898085	3898975	1	P02925	ribose ABC transporter periplasmic binding protein
rbsK	FJKNNBLA_03724	b3752	3899101	3900030	1	P0A9J6	ribokinase
rbsR	FJKNNBLA_03725	b3753	3900043	3901026	1	P0ACQ0	DNA-binding transcriptional dual regulator RbsR
hsrA	FJKNNBLA_03726	b3754	3902419	3900992	-1	P31474	putative transporter HsrA
yieP	FJKNNBLA_03727	b3755	3903134	3902442	-1	P31475	DNA-binding transcriptional regulator YieP
hdfR	FJKNNBLA_03734	b4480	3909767	3908928	-1	P0A8R9	DNA-binding transcriptional dual regulator HdfR
yifE	FJKNNBLA_03735	b3764	3909886	3910224	1	P0ADN2	macrodomain Ori protein
yifB	FJKNNBLA_03736	b3765	3911769	3910249	-1	P22787	putative magnesium chelatase YifB
ilvB	FJKNNBLA_03738	b3671	3912360	3914006	1	P08142	acetohydroxy acid synthase I subunit IlvB
ilvM	FJKNNBLA_03739	b3769	3914003	3914266	1	P0ADG1	acetolactate synthase II subunit IlvM
ilvE	FJKNNBLA_03740	b3770	3914286	3915215	1	P0AB80	branched-chain-amino-acid aminotransferase
ilvD	FJKNNBLA_03741	b3771	3915280	3917130	1	P05791	dihydroxy-acid dehydratase
ilvA	FJKNNBLA_03742	b3772	3917130	3918677	1	P04968	threonine deaminase
ilvY	FJKNNBLA_03743	b3773	3919622	3918729	-1	P05827	DNA-binding transcriptional dual regulator IlvY
